task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
software-wrapper 1564770739648 1564770740911 1564770745176 1564770740976 1564770744467 1564770744467 1564770745176 1564770745176 1564770745176
alignment_to_reference 1564770739683 1564770766067 1564770796700 1564770766074 1564770793282 1564770793283 1564770796604 1564770796604 1564770796699
alignment_to_reference 1564770739670 1564770767384 1564770796479 1564770767390 1564770793101 1564770793102 1564770796423 1564770796423 1564770796478
sort_sam 1564770851901 1564770852133 1564770853947 1564770852135 1564770853412 1564770853412 1564770853799 1564770853799 1564770853947
dedup 1564770854399 1564770854618 1564770857136 1564770854619 1564770855774 1564770855774 1564770857069 1564770857070 1564770857136
alignment_to_reference 1564770739670 1564770768683 1564770800862 1564770768690 1564770797422 1564770797422 1564770800813 1564770800813 1564770800861
sort_sam 1564770852582 1564770853259 1564770857893 1564770853330 1564770856670 1564770856670 1564770857770 1564770857770 1564770857893
add_replace 1564770857760 1564770858062 1564770859858 1564770858064 1564770859309 1564770859309 1564770859735 1564770859735 1564770859858
sort_sam 1564770858240 1564770858417 1564770859916 1564770858418 1564770859488 1564770859488 1564770859795 1564770859795 1564770859916
dedup 1564770860620 1564770860844 1564770862931 1564770860845 1564770861929 1564770861929 1564770862853 1564770862853 1564770862931
add_replace 1564770863409 1564770863597 1564770865132 1564770863598 1564770864705 1564770864705 1564770865042 1564770865042 1564770865132
dedup 1564770858347 1564770859431 1564770865368 1564770859500 1564770863061 1564770863061 1564770865205 1564770865205 1564770865368
add_replace 1564770865911 1564770866048 1564770867682 1564770866049 1564770867262 1564770867262 1564770867604 1564770867604 1564770867682
alignment_to_reference 1564770739683 1564770767927 1564770819838 1564770767933 1564770817243 1564770817244 1564770819777 1564770819777 1564770819838
alignment_to_reference 1564770739683 1564770767286 1564770817085 1564770767292 1564770815123 1564770815124 1564770816975 1564770816975 1564770817084
sort_sam 1564770874428 1564770874671 1564770875971 1564770874672 1564770875587 1564770875587 1564770875895 1564770875895 1564770875971
sort_sam 1564770874431 1564770874648 1564770876259 1564770874649 1564770875795 1564770875795 1564770876162 1564770876162 1564770876259
dedup 1564770876426 1564770876572 1564770878843 1564770876573 1564770877622 1564770877622 1564770878602 1564770878602 1564770878843
dedup 1564770876751 1564770876931 1564770878992 1564770876932 1564770877981 1564770877981 1564770878920 1564770878920 1564770878992
add_replace 1564770879310 1564770879425 1564770880892 1564770879426 1564770880477 1564770880477 1564770880816 1564770880816 1564770880892
add_replace 1564770879558 1564770879745 1564770881193 1564770879746 1564770880785 1564770880785 1564770881114 1564770881114 1564770881193
realign_target_creator 1564770860616 1564770888747 1564771026466 1564770888753 1564770936601 1564770936601 1564771026414 1564771026414 1564771026465
realign_target_creator 1564770865640 1564770893581 1564771033291 1564770893588 1564770924443 1564770924443 1564771033023 1564771033023 1564771033290
realign_target_creator 1564770868230 1564770896526 1564771024440 1564770896533 1564770922407 1564770922407 1564771024386 1564771024386 1564771024439
realign_target_creator 1564770881669 1564770910444 1564771051334 1564770910450 1564770943185 1564770943186 1564771051274 1564771051274 1564771051333
realign_target_creator 1564770881324 1564770912128 1564771059170 1564770912134 1564770958801 1564770958802 1564771059112 1564771059112 1564771059170
indel_realign 1564771060556 1564771088021 1564771125318 1564771088028 1564771117692 1564771117693 1564771125212 1564771125212 1564771125317
indel_realign 1564771076833 1564771104194 1564771139671 1564771104201 1564771132329 1564771132329 1564771139591 1564771139591 1564771139671
indel_realign 1564771055034 1564771081821 1564771139935 1564771081827 1564771132764 1564771132764 1564771139829 1564771139829 1564771139935
indel_realign 1564771060542 1564771091292 1564771149541 1564771091299 1564771142303 1564771142303 1564771149455 1564771149455 1564771149541
indel_realign 1564771087613 1564771114124 1564771147609 1564771114131 1564771140244 1564771140244 1564771147414 1564771147414 1564771147608
haplotype_caller 1564771182102 1564771209529 1564771274708 1564771209535 1564771233816 1564771233816 1564771274622 1564771274622 1564771274707
haplotype_caller 1564771182102 1564771210985 1564771272993 1564771210992 1564771233439 1564771233440 1564771272876 1564771272876 1564771272993
haplotype_caller 1564771182100 1564771208620 1564771282678 1564771208626 1564771235161 1564771235162 1564771282600 1564771282600 1564771282678
haplotype_caller 1564771182102 1564771211337 1564771282437 1564771211345 1564771234664 1564771234665 1564771282349 1564771282350 1564771282436
haplotype_caller 1564771182102 1564771210599 1564771280341 1564771210605 1564771234162 1564771234163 1564771280178 1564771280178 1564771280340
haplotype_caller 1564771182101 1564771207926 1564771282659 1564771207933 1564771237942 1564771237943 1564771282492 1564771282492 1564771282658
