task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
generateData.js 1559388508218 1559388508833 1559388509478 1559388508835 1559388509112 1559388509112 1559388509413 1559388509412 1559388509477
createDat.js 1559388510046 1559388510138 1559388510557 1559388510138 1559388510205 1559388510205 1559388510490 1559388510456 1559388510557
createDat.js 1559388510057 1559388510562 1559388511187 1559388510564 1559388510810 1559388510810 1559388511133 1559388511133 1559388511187
createDat.js 1559388510053 1559388510523 1559388511197 1559388510524 1559388510782 1559388510782 1559388511101 1559388511085 1559388511196
createDat.js 1559388510047 1559388510535 1559388511177 1559388510536 1559388510786 1559388510787 1559388511087 1559388511087 1559388511177
ellipsoids-openmp 1559388511629 1559388512155 1559388816718 1559388512157 1559388513277 1559388513278 1559388816401 1559388816401 1559388816717
ellipsoids-openmp 1559388511621 1559388512275 1559388817481 1559388512276 1559388513332 1559388513333 1559388817155 1559388817154 1559388817481
ellipsoids-openmp 1559388511622 1559388512165 1559388819952 1559388512166 1559388513133 1559388513134 1559388819635 1559388819635 1559388819952
ellipsoids-openmp 1559388511017 1559388511572 1559388817285 1559388511573 1559388512607 1559388512607 1559388816989 1559388816988 1559388817285
ellipsoids-openmp 1559388511622 1559388512242 1559388819940 1559388512243 1559388513373 1559388513373 1559388819637 1559388819636 1559388819940
ellipsoids-openmp 1559388511621 1559388512161 1559388820608 1559388512162 1559388513235 1559388513235 1559388820233 1559388820232 1559388820607
mean-pack-ell 1559388822042 1559388822273 1559388823983 1559388822274 1559388823910 1559388823910 1559388823915 1559388823915 1559388823983
ellipsoids-openmp 1559388511017 1559388511565 1559388825049 1559388511566 1559388512670 1559388512670 1559388824752 1559388824752 1559388825049
ellipsoids-openmp 1559388511020 1559388511556 1559388825745 1559388511558 1559388512608 1559388512628 1559388825371 1559388825370 1559388825745
ellipsoids-openmp 1559388511021 1559388511144 1559388830334 1559388511145 1559388511996 1559388511996 1559388829934 1559388829934 1559388830334
ellipsoids-openmp 1559388511016 1559388511258 1559388830076 1559388511258 1559388512173 1559388512173 1559388829751 1559388829751 1559388830076
mean-pack-ell 1559388830959 1559388831153 1559388832800 1559388831153 1559388832632 1559388832632 1559388832714 1559388832714 1559388832800
ellipsoids-openmp 1559388511641 1559388512244 1559388899139 1559388512245 1559388513378 1559388513378 1559388898803 1559388898803 1559388899139
ellipsoids-openmp 1559388511640 1559388512221 1559388905603 1559388512222 1559388513252 1559388513252 1559388905294 1559388905294 1559388905603
ellipsoids-openmp 1559388511592 1559388512120 1559388909322 1559388512121 1559388513238 1559388513238 1559388908938 1559388908938 1559388909322
ellipsoids-openmp 1559388511644 1559388512164 1559388908534 1559388512165 1559388513221 1559388513221 1559388908203 1559388908203 1559388908534
ellipsoids-openmp 1559388511640 1559388512238 1559388911444 1559388512239 1559388513274 1559388513275 1559388911195 1559388911194 1559388911444
ellipsoids-openmp 1559388511595 1559388511650 1559388914639 1559388511651 1559388512486 1559388512486 1559388914344 1559388914327 1559388914639
ellipsoids-openmp 1559388511604 1559388512075 1559388912319 1559388512076 1559388513083 1559388513084 1559388911964 1559388911964 1559388912319
ellipsoids-openmp 1559388511596 1559388512054 1559388916431 1559388512056 1559388513122 1559388513123 1559388916088 1559388916087 1559388916430
ellipsoids-openmp 1559388511594 1559388511713 1559388919015 1559388511714 1559388512625 1559388512625 1559388918683 1559388918683 1559388919015
mean-pack-ell 1559388921449 1559388921662 1559388923230 1559388921662 1559388923094 1559388923094 1559388923115 1559388923115 1559388923230
ellipsoids-openmp 1559388511640 1559388512204 1559388921175 1559388512205 1559388513254 1559388513255 1559388920877 1559388920877 1559388921175
mean-pack-ell 1559388924471 1559388924629 1559388925929 1559388924629 1559388925757 1559388925757 1559388925857 1559388925857 1559388925929
summary.js 1559388926408 1559388926501 1559388926945 1559388926501 1559388926614 1559388926614 1559388926878 1559388926878 1559388926945
