task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
generateData.js 1559389057599 1559389058285 1559389058623 1559389058287 1559389058428 1559389058429 1559389058568 1559389058568 1559389058623
createDat.js 1559389059922 1559389060006 1559389060233 1559389060006 1559389060063 1559389060063 1559389060186 1559389060186 1559389060233
createDat.js 1559389059924 1559389060438 1559389060771 1559389060439 1559389060584 1559389060584 1559389060718 1559389060718 1559389060771
createDat.js 1559389059921 1559389060452 1559389060783 1559389060454 1559389060583 1559389060583 1559389060714 1559389060714 1559389060782
createDat.js 1559389059923 1559389060447 1559389060858 1559389060448 1559389060614 1559389060614 1559389060751 1559389060750 1559389060858
ellipsoids-openmp 1559389061227 1559389061699 1559389210519 1559389061701 1559389062198 1559389062198 1559389210323 1559389210322 1559389210519
ellipsoids-openmp 1559389061227 1559389061785 1559389209910 1559389061786 1559389062239 1559389062240 1559389209643 1559389209643 1559389209909
ellipsoids-openmp 1559389061226 1559389061798 1559389210005 1559389061800 1559389062251 1559389062251 1559389209787 1559389209779 1559389210005
ellipsoids-openmp 1559389061296 1559389061842 1559389208399 1559389061843 1559389062291 1559389062303 1559389208154 1559389208154 1559389208399
ellipsoids-openmp 1559389061295 1559389062315 1559389208877 1559389062316 1559389062762 1559389062762 1559389208683 1559389208682 1559389208877
ellipsoids-openmp 1559389061226 1559389061795 1559389210948 1559389061796 1559389062279 1559389062279 1559389210738 1559389210737 1559389210947
ellipsoids-openmp 1559389061302 1559389062316 1559389210750 1559389062317 1559389062753 1559389062753 1559389210434 1559389210433 1559389210749
ellipsoids-openmp 1559389061295 1559389061713 1559389210927 1559389061714 1559389062176 1559389062176 1559389210735 1559389210735 1559389210927
ellipsoids-openmp 1559389061296 1559389061843 1559389213427 1559389061845 1559389067673 1559389067673 1559389213212 1559389213212 1559389213426
ellipsoids-openmp 1559389061227 1559389061789 1559389212893 1559389061790 1559389062272 1559389062272 1559389212611 1559389212611 1559389212893
mean-pack-ell 1559389214375 1559389214524 1559389215370 1559389214524 1559389215310 1559389215310 1559389215315 1559389215314 1559389215370
mean-pack-ell 1559389214634 1559389214793 1559389215648 1559389214793 1559389215566 1559389215566 1559389215609 1559389215609 1559389215648
ellipsoids-openmp 1559389061173 1559389061685 1559389247560 1559389061687 1559389062144 1559389062144 1559389247388 1559389247388 1559389247559
ellipsoids-openmp 1559389060637 1559389061173 1559389252973 1559389061174 1559389061632 1559389061632 1559389252815 1559389252815 1559389252973
ellipsoids-openmp 1559389061171 1559389061668 1559389252213 1559389061669 1559389062076 1559389062076 1559389251907 1559389251907 1559389252212
ellipsoids-openmp 1559389060645 1559389060751 1559389256898 1559389060751 1559389061163 1559389061163 1559389256686 1559389256686 1559389256897
ellipsoids-openmp 1559389061172 1559389061300 1559389254733 1559389061300 1559389061652 1559389061652 1559389254511 1559389254511 1559389254733
ellipsoids-openmp 1559389060636 1559389061171 1559389256925 1559389061173 1559389061630 1559389061630 1559389256712 1559389256711 1559389256925
ellipsoids-openmp 1559389060643 1559389061162 1559389256082 1559389061164 1559389061632 1559389061632 1559389255912 1559389255911 1559389256082
ellipsoids-openmp 1559389061174 1559389061300 1559389261932 1559389061300 1559389061697 1559389061697 1559389261698 1559389261698 1559389261932
ellipsoids-openmp 1559389061173 1559389061265 1559389262736 1559389061265 1559389061634 1559389061634 1559389261809 1559389261809 1559389262736
mean-pack-ell 1559389264225 1559389264411 1559389265300 1559389264411 1559389265201 1559389265201 1559389265242 1559389265241 1559389265300
ellipsoids-openmp 1559389060635 1559389061151 1559389264194 1559389061153 1559389061639 1559389061639 1559389264021 1559389264021 1559389264193
mean-pack-ell 1559389267457 1559389267633 1559389268221 1559389267633 1559389268157 1559389268157 1559389268162 1559389268162 1559389268221
summary.js 1559389268613 1559389268802 1559389269175 1559389268802 1559389268950 1559389268950 1559389269062 1559389269062 1559389269175
