task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
generateData.js 1559389379828 1559389380410 1559389380656 1559389380411 1559389380509 1559389380509 1559389380595 1559389380594 1559389380656
createDat.js 1559389381222 1559389381304 1559389381574 1559389381304 1559389381430 1559389381430 1559389381504 1559389381504 1559389381574
createDat.js 1559389381226 1559389381604 1559389381829 1559389381605 1559389381693 1559389381694 1559389381780 1559389381780 1559389381829
createDat.js 1559389381227 1559389381640 1559389381881 1559389381641 1559389381741 1559389381742 1559389381831 1559389381830 1559389381881
createDat.js 1559389381227 1559389381693 1559389381965 1559389381694 1559389381793 1559389381793 1559389381882 1559389381881 1559389381965
ellipsoids-openmp 1559389382353 1559389383001 1559389475861 1559389383002 1559389383315 1559389383315 1559389475710 1559389475709 1559389475861
ellipsoids-openmp 1559389382049 1559389382081 1559389476405 1559389382081 1559389382346 1559389382346 1559389476221 1559389476221 1559389476405
ellipsoids-openmp 1559389382041 1559389382074 1559389474561 1559389382074 1559389382401 1559389382401 1559389474373 1559389474373 1559389474561
ellipsoids-openmp 1559389382059 1559389382608 1559389475699 1559389382609 1559389382922 1559389382922 1559389475508 1559389475507 1559389475699
ellipsoids-openmp 1559389382039 1559389382154 1559389475937 1559389382154 1559389382415 1559389382415 1559389475716 1559389475716 1559389475937
ellipsoids-openmp 1559389382050 1559389382156 1559389475994 1559389382156 1559389382436 1559389382436 1559389475763 1559389475763 1559389475994
mean-pack-ell 1559389478241 1559389478409 1559389479000 1559389478409 1559389478906 1559389478906 1559389478933 1559389478932 1559389479000
ellipsoids-openmp 1559389382352 1559389382991 1559389477408 1559389382992 1559389383273 1559389383273 1559389477244 1559389477244 1559389477408
ellipsoids-openmp 1559389382352 1559389382955 1559389479515 1559389382956 1559389383378 1559389383378 1559389479326 1559389479325 1559389479515
ellipsoids-openmp 1559389382353 1559389383000 1559389484395 1559389383001 1559389383337 1559389383337 1559389484218 1559389484217 1559389484394
ellipsoids-openmp 1559389382353 1559389382997 1559389483838 1559389382999 1559389383289 1559389383289 1559389483625 1559389483625 1559389483838
mean-pack-ell 1559389484728 1559389485025 1559389485495 1559389485025 1559389485445 1559389485445 1559389485460 1559389485460 1559389485494
ellipsoids-openmp 1559389382381 1559389383034 1559389500210 1559389383035 1559389383340 1559389383341 1559389499990 1559389499990 1559389500210
ellipsoids-openmp 1559389382322 1559389383016 1559389502917 1559389383017 1559389383326 1559389383326 1559389502426 1559389502426 1559389502916
ellipsoids-openmp 1559389382380 1559389383011 1559389502211 1559389383012 1559389383319 1559389383320 1559389502027 1559389502027 1559389502211
ellipsoids-openmp 1559389382323 1559389382973 1559389503641 1559389382975 1559389383243 1559389383243 1559389503465 1559389503464 1559389503640
ellipsoids-openmp 1559389382323 1559389382930 1559389503735 1559389382931 1559389383322 1559389383322 1559389503484 1559389503484 1559389503735
ellipsoids-openmp 1559389382381 1559389382991 1559389501930 1559389382992 1559389383300 1559389383301 1559389501730 1559389501730 1559389501930
ellipsoids-openmp 1559389382324 1559389382901 1559389503115 1559389382902 1559389383216 1559389383216 1559389502756 1559389502756 1559389503115
ellipsoids-openmp 1559389382323 1559389382890 1559389507042 1559389382892 1559389383317 1559389383317 1559389506876 1559389506876 1559389507042
ellipsoids-openmp 1559389382381 1559389383026 1559389505718 1559389383027 1559389383340 1559389383340 1559389505522 1559389505522 1559389505718
mean-pack-ell 1559389508116 1559389508320 1559389508805 1559389508321 1559389508720 1559389508720 1559389508723 1559389508723 1559389508805
ellipsoids-openmp 1559389382380 1559389382982 1559389508419 1559389382983 1559389383281 1559389383282 1559389508240 1559389508240 1559389508418
mean-pack-ell 1559389511171 1559389511250 1559389511646 1559389511251 1559389511601 1559389511601 1559389511605 1559389511605 1559389511646
summary.js 1559389512040 1559389512183 1559389512373 1559389512183 1559389512252 1559389512252 1559389512325 1559389512325 1559389512373
