task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
generateData.js 1563272386632 1563272443611 1563272444334 1563272443614 1563272443951 1563272443951 1563272444214 1563272444214 1563272444333
createDat.js 1563272479972 1563272522934 1563272523684 1563272522937 1563272523255 1563272523255 1563272523540 1563272523540 1563272523684
createDat.js 1563272479972 1563272525105 1563272525926 1563272525108 1563272525507 1563272525507 1563272525811 1563272525811 1563272525925
createDat.js 1563272479972 1563272527808 1563272528459 1563272527811 1563272528109 1563272528110 1563272528415 1563272528415 1563272528459
createDat.js 1563272479971 1563272530947 1563272531601 1563272530950 1563272531245 1563272531245 1563272531549 1563272531549 1563272531601
ellipsoids-openmp 1563272567313 1563272612514 1563272909417 1563272612518 1563272613709 1563272613709 1563272909105 1563272909105 1563272909417
ellipsoids-openmp 1563272550844 1563272593091 1563272921736 1563272593174 1563272594175 1563272594175 1563272921384 1563272921384 1563272921735
ellipsoids-openmp 1563272550844 1563272597608 1563272926840 1563272597611 1563272598613 1563272598613 1563272926500 1563272926501 1563272926839
ellipsoids-openmp 1563272550844 1563272596947 1563272934930 1563272596950 1563272597934 1563272597934 1563272934548 1563272934549 1563272934929
ellipsoids-openmp 1563272567313 1563272610630 1563272939639 1563272610633 1563272611436 1563272611436 1563272939324 1563272939324 1563272939638
ellipsoids-openmp 1563272567318 1563272619604 1563272932696 1563272619607 1563272620591 1563272620592 1563272932393 1563272932393 1563272932696
ellipsoids-openmp 1563272567313 1563272611471 1563272948560 1563272611473 1563272612365 1563272612365 1563272948278 1563272948279 1563272948559
ellipsoids-openmp 1563272567313 1563272620399 1563272941200 1563272620478 1563272621494 1563272621494 1563272940878 1563272940878 1563272941199
ellipsoids-openmp 1563272550845 1563272599032 1563272969750 1563272599120 1563272600131 1563272600131 1563272969422 1563272969422 1563272969750
ellipsoids-openmp 1563272567290 1563272614542 1563272999195 1563272614545 1563272615362 1563272615362 1563272998840 1563272998840 1563272999195
ellipsoids-openmp 1563272550865 1563272604760 1563272993284 1563272604764 1563272605763 1563272605763 1563272992958 1563272992959 1563272993284
ellipsoids-openmp 1563272550859 1563272603952 1563273003847 1563272603955 1563272604841 1563272604842 1563273003542 1563273003542 1563273003847
ellipsoids-openmp 1563272550868 1563272603745 1563273010789 1563272603748 1563272604845 1563272604845 1563273010450 1563273010450 1563273010789
ellipsoids-openmp 1563272567290 1563272625221 1563273015234 1563272625224 1563272626126 1563272626126 1563273014927 1563273014927 1563273015234
ellipsoids-openmp 1563272567303 1563272612349 1563273038558 1563272612351 1563272613246 1563272613246 1563273038242 1563273038242 1563273038558
ellipsoids-openmp 1563272550859 1563272597441 1563272984356 1563272597444 1563272598334 1563272598334 1563272984036 1563272984036 1563272984356
mean-pack-ell 1563272980021 1563273028943 1563273031178 1563273028946 1563273031049 1563273031049 1563273031056 1563273031056 1563273031178
ellipsoids-openmp 1563272567290 1563272614032 1563273046316 1563272614035 1563272615033 1563272615033 1563273045943 1563273045943 1563273046315
ellipsoids-openmp 1563272550859 1563272596269 1563273041661 1563272596352 1563272597252 1563272597252 1563273041370 1563273041370 1563273041661
ellipsoids-openmp 1563272550854 1563272715340 1563273050635 1563272715425 1563272716329 1563272716329 1563273050328 1563273050328 1563273050635
ellipsoids-openmp 1563272567291 1563272626172 1563273015891 1563272626175 1563272627277 1563272627278 1563273015559 1563273015560 1563273015890
mean-pack-ell 1563273070355 1563273112631 1563273114632 1563273112715 1563273114427 1563273114427 1563273114531 1563273114531 1563273114632
mean-pack-ell 1563273075865 1563273122515 1563273124454 1563273122518 1563273124340 1563273124340 1563273124419 1563273124419 1563273124453
mean-pack-ell 1563273092142 1563273141928 1563273143876 1563273141931 1563273143725 1563273143726 1563273143820 1563273143820 1563273143876
summary.js 1563273169673 1563273212145 1563273212965 1563273212148 1563273212544 1563273212544 1563273212847 1563273212847 1563273212965
