task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
generateData.js 1563270651241 1563270684153 1563270684387 1563270684157 1563270684283 1563270684283 1563270684347 1563270684347 1563270684387
createDat.js 1563270712026 1563270744749 1563270744970 1563270744753 1563270744858 1563270744859 1563270744920 1563270744920 1563270744970
createDat.js 1563270712025 1563270746471 1563270746711 1563270746474 1563270746597 1563270746598 1563270746659 1563270746659 1563270746711
createDat.js 1563270712025 1563270748686 1563270748927 1563270748689 1563270748768 1563270748769 1563270748830 1563270748830 1563270748927
createDat.js 1563270712025 1563270745373 1563270745583 1563270745375 1563270745478 1563270745478 1563270745540 1563270745540 1563270745583
ellipsoids-openmp 1563270774425 1563270809321 1563270856783 1563270809324 1563270809546 1563270809546 1563270856601 1563270856602 1563270856783
ellipsoids-openmp 1563270774414 1563270808936 1563270856742 1563270808938 1563270809150 1563270809150 1563270856592 1563270856592 1563270856741
ellipsoids-openmp 1563270774415 1563270810927 1563270857390 1563270810930 1563270811156 1563270811156 1563270857216 1563270857216 1563270857390
ellipsoids-openmp 1563270774425 1563270809501 1563270858769 1563270809504 1563270809726 1563270809726 1563270858591 1563270858591 1563270858769
ellipsoids-openmp 1563270774415 1563270809496 1563270857218 1563270809500 1563270809723 1563270809723 1563270857025 1563270857026 1563270857218
ellipsoids-openmp 1563270774425 1563270809716 1563270857584 1563270809719 1563270809937 1563270809938 1563270857446 1563270857447 1563270857583
ellipsoids-openmp 1563270774425 1563270808241 1563270858065 1563270808244 1563270808586 1563270808587 1563270857896 1563270857897 1563270858064
ellipsoids-openmp 1563270774415 1563270813394 1563270861004 1563270813397 1563270813620 1563270813621 1563270860766 1563270860766 1563270861004
ellipsoids-openmp 1563270769194 1563270801963 1563270864299 1563270801966 1563270802232 1563270802233 1563270864140 1563270864140 1563270864298
ellipsoids-openmp 1563270774414 1563270816034 1563270864368 1563270816036 1563270816246 1563270816246 1563270864214 1563270864214 1563270864368
ellipsoids-openmp 1563270769202 1563270804789 1563270867071 1563270804791 1563270805018 1563270805019 1563270866915 1563270866915 1563270867070
ellipsoids-openmp 1563270769194 1563270803058 1563270863908 1563270803061 1563270803318 1563270803318 1563270863750 1563270863750 1563270863907
ellipsoids-openmp 1563270769201 1563270804178 1563270864406 1563270804181 1563270804417 1563270804417 1563270864218 1563270864219 1563270864406
ellipsoids-openmp 1563270774425 1563270813139 1563270862403 1563270813142 1563270813362 1563270813362 1563270862205 1563270862206 1563270862403
ellipsoids-openmp 1563270774387 1563270808370 1563270869058 1563270808373 1563270808676 1563270808677 1563270868885 1563270868885 1563270869058
ellipsoids-openmp 1563270774387 1563270807641 1563270871466 1563270807644 1563270807904 1563270807905 1563270871306 1563270871306 1563270871465
ellipsoids-openmp 1563270774387 1563270808300 1563270868694 1563270808303 1563270808565 1563270808565 1563270868515 1563270868515 1563270868693
ellipsoids-openmp 1563270774387 1563270806980 1563270868677 1563270806983 1563270807231 1563270807231 1563270868521 1563270868521 1563270868676
ellipsoids-openmp 1563270769193 1563270808843 1563270869966 1563270808846 1563270809071 1563270809071 1563270869809 1563270869809 1563270869965
ellipsoids-openmp 1563270774387 1563270815737 1563270877841 1563270815740 1563270816054 1563270816054 1563270877680 1563270877680 1563270877841
mean-pack-ell 1563270891627 1563270926871 1563270927328 1563270926874 1563270927278 1563270927278 1563270927284 1563270927284 1563270927327
mean-pack-ell 1563270891625 1563270926108 1563270926545 1563270926110 1563270926517 1563270926517 1563270926523 1563270926523 1563270926545
mean-pack-ell 1563270897022 1563270930250 1563270930690 1563270930252 1563270930647 1563270930648 1563270930654 1563270930654 1563270930690
mean-pack-ell 1563270902253 1563270935292 1563270935736 1563270935294 1563270935684 1563270935684 1563270935702 1563270935702 1563270935736
summary.js 1563270960986 1563270996668 1563270996908 1563270996671 1563270996784 1563270996784 1563270996846 1563270996846 1563270996907
