task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
generateData.js 1559390181916 1559390182498 1559390182718 1559390182499 1559390182587 1559390182587 1559390182654 1559390182654 1559390182717
createDat.js 1559390183274 1559390183332 1559390183513 1559390183332 1559390183379 1559390183379 1559390183437 1559390183436 1559390183513
createDat.js 1559390183272 1559390183729 1559390183948 1559390183730 1559390183822 1559390183822 1559390183893 1559390183893 1559390183948
createDat.js 1559390183273 1559390183685 1559390183914 1559390183686 1559390183764 1559390183764 1559390183830 1559390183830 1559390183914
createDat.js 1559390183271 1559390183796 1559390184087 1559390183797 1559390183877 1559390183877 1559390183944 1559390183944 1559390184087
ellipsoids-openmp 1559390184525 1559390185076 1559390252650 1559390185077 1559390185343 1559390185343 1559390252475 1559390252474 1559390252650
ellipsoids-openmp 1559390184464 1559390184885 1559390253626 1559390184887 1559390185123 1559390185123 1559390253423 1559390253423 1559390253626
ellipsoids-openmp 1559390184526 1559390185126 1559390255839 1559390185128 1559390185387 1559390185387 1559390255652 1559390255652 1559390255839
ellipsoids-openmp 1559390184525 1559390185026 1559390255183 1559390185027 1559390185259 1559390185259 1559390254986 1559390254985 1559390255182
ellipsoids-openmp 1559390184462 1559390184963 1559390257512 1559390184965 1559390185254 1559390185255 1559390257351 1559390257350 1559390257512
ellipsoids-openmp 1559390184463 1559390184945 1559390257493 1559390184946 1559390185196 1559390185197 1559390257179 1559390257179 1559390257493
ellipsoids-openmp 1559390184464 1559390184999 1559390257769 1559390185000 1559390185233 1559390185233 1559390257600 1559390257599 1559390257768
ellipsoids-openmp 1559390184526 1559390184952 1559390256735 1559390184953 1559390185225 1559390185225 1559390256520 1559390256520 1559390256735
ellipsoids-openmp 1559390184526 1559390184988 1559390257749 1559390184990 1559390185254 1559390185254 1559390257568 1559390257567 1559390257749
ellipsoids-openmp 1559390184463 1559390185029 1559390255846 1559390185030 1559390185289 1559390185289 1559390255677 1559390255676 1559390255846
mean-pack-ell 1559390258497 1559390258726 1559390259143 1559390258727 1559390259106 1559390259106 1559390259109 1559390259109 1559390259143
mean-pack-ell 1559390258528 1559390258717 1559390259191 1559390258717 1559390259114 1559390259114 1559390259118 1559390259118 1559390259191
ellipsoids-openmp 1559390183977 1559390184222 1559390271473 1559390184222 1559390184422 1559390184422 1559390271299 1559390271299 1559390271473
ellipsoids-openmp 1559390184435 1559390184889 1559390273720 1559390184890 1559390185148 1559390185148 1559390273548 1559390273548 1559390273720
ellipsoids-openmp 1559390183978 1559390184171 1559390276218 1559390184171 1559390184363 1559390184363 1559390276061 1559390276061 1559390276218
ellipsoids-openmp 1559390183979 1559390184214 1559390273632 1559390184214 1559390184406 1559390184406 1559390273443 1559390273443 1559390273632
ellipsoids-openmp 1559390184429 1559390184845 1559390275492 1559390184847 1559390185099 1559390185100 1559390275324 1559390275324 1559390275492
ellipsoids-openmp 1559390184434 1559390184840 1559390274872 1559390184842 1559390185081 1559390185081 1559390274661 1559390274660 1559390274872
ellipsoids-openmp 1559390184429 1559390184849 1559390276357 1559390184850 1559390185085 1559390185086 1559390276175 1559390276175 1559390276357
ellipsoids-openmp 1559390184430 1559390184960 1559390277837 1559390184961 1559390185212 1559390185212 1559390277644 1559390277644 1559390277837
mean-pack-ell 1559390278168 1559390278270 1559390278687 1559390278270 1559390278655 1559390278655 1559390278659 1559390278659 1559390278687
ellipsoids-openmp 1559390183980 1559390184176 1559390277264 1559390184176 1559390184373 1559390184373 1559390277095 1559390277095 1559390277264
ellipsoids-openmp 1559390183980 1559390184606 1559390277071 1559390184607 1559390184868 1559390184868 1559390276914 1559390276914 1559390277071
mean-pack-ell 1559390279985 1559390280073 1559390280434 1559390280073 1559390280359 1559390280360 1559390280364 1559390280364 1559390280434
summary.js 1559390280831 1559390280914 1559390281114 1559390280915 1559390280983 1559390280983 1559390281043 1559390281043 1559390281114
