task_name task_fire task_start task_end download_start download_end execution_start execution_end upload_start upload_end
generateData.js 1559389930246 1559389930388 1559389930557 1559389930388 1559389930446 1559389930446 1559389930505 1559389930505 1559389930557
createDat.js 1559389931134 1559389931254 1559389931397 1559389931255 1559389931285 1559389931285 1559389931345 1559389931344 1559389931397
createDat.js 1559389931135 1559389931198 1559389931386 1559389931198 1559389931244 1559389931244 1559389931302 1559389931302 1559389931386
createDat.js 1559389931143 1559389931317 1559389931471 1559389931317 1559389931376 1559389931376 1559389931434 1559389931434 1559389931471
createDat.js 1559389931142 1559389931375 1559389931567 1559389931376 1559389931412 1559389931412 1559389931472 1559389931472 1559389931567
ellipsoids-openmp 1559389931849 1559389932365 1559389987725 1559389932367 1559389932595 1559389932595 1559389987552 1559389987552 1559389987725
ellipsoids-openmp 1559389932030 1559389932544 1559389987571 1559389932545 1559389932779 1559389932779 1559389987391 1559389987390 1559389987570
ellipsoids-openmp 1559389932031 1559389932552 1559389988509 1559389932553 1559389933102 1559389933102 1559389988319 1559389988319 1559389988508
ellipsoids-openmp 1559389931848 1559389931914 1559389988606 1559389931914 1559389932130 1559389932130 1559389988418 1559389988418 1559389988606
ellipsoids-openmp 1559389931855 1559389931989 1559389988973 1559389931990 1559389932153 1559389932153 1559389988768 1559389988767 1559389988973
ellipsoids-openmp 1559389931849 1559389931988 1559389988944 1559389931988 1559389932171 1559389932171 1559389988693 1559389988692 1559389988944
ellipsoids-openmp 1559389931854 1559389932390 1559389988869 1559389932391 1559389932639 1559389932639 1559389988642 1559389988641 1559389988869
ellipsoids-openmp 1559389932031 1559389932598 1559389989429 1559389932600 1559389932848 1559389932848 1559389989296 1559389989295 1559389989429
mean-pack-ell 1559389991262 1559389991959 1559389992321 1559389991959 1559389992261 1559389992261 1559389992286 1559389992286 1559389992321
ellipsoids-openmp 1559389932030 1559389932585 1559389991802 1559389932586 1559389932825 1559389932825 1559389991576 1559389991576 1559389991802
ellipsoids-openmp 1559389932036 1559389932578 1559389992539 1559389932580 1559389932785 1559389932786 1559389992383 1559389992383 1559389992539
mean-pack-ell 1559389995590 1559389995652 1559389996024 1559389995652 1559389995962 1559389995962 1559389995966 1559389995966 1559389996024
ellipsoids-openmp 1559389931878 1559389931961 1559390001039 1559389931961 1559389932171 1559389932171 1559390000819 1559390000819 1559390001039
ellipsoids-openmp 1559389931879 1559389932325 1559390002997 1559389932327 1559389932577 1559389932577 1559390002795 1559390002795 1559390002997
ellipsoids-openmp 1559389931879 1559389932459 1559390002922 1559389932460 1559389932701 1559389932701 1559390002730 1559390002730 1559390002921
ellipsoids-openmp 1559389931886 1559389932460 1559390004675 1559389932461 1559389932702 1559389932703 1559390004492 1559390004492 1559390004675
ellipsoids-openmp 1559389931886 1559389932499 1559390004328 1559389932500 1559389932783 1559389932783 1559390004123 1559390004123 1559390004327
ellipsoids-openmp 1559389931886 1559389932433 1559390002841 1559389932434 1559389932674 1559389932674 1559390002664 1559390002664 1559390002840
ellipsoids-openmp 1559389931887 1559389932500 1559390004124 1559389932501 1559389932762 1559389932763 1559390003893 1559390003893 1559390004123
ellipsoids-openmp 1559389931878 1559389932410 1559390004877 1559389932411 1559389932652 1559389932652 1559390004726 1559390004726 1559390004876
ellipsoids-openmp 1559389931879 1559389932393 1559390005958 1559389932395 1559389932633 1559389932633 1559390005799 1559390005799 1559390005958
ellipsoids-openmp 1559389931887 1559389932487 1559390005478 1559389932489 1559389932746 1559389932746 1559390005238 1559390005237 1559390005478
mean-pack-ell 1559390007820 1559390007893 1559390008290 1559390007893 1559390008231 1559390008231 1559390008257 1559390008257 1559390008290
mean-pack-ell 1559390008562 1559390008649 1559390008948 1559390008649 1559390008887 1559390008887 1559390008909 1559390008909 1559390008948
summary.js 1559390009354 1559390009514 1559390009705 1559390009515 1559390009591 1559390009591 1559390009652 1559390009652 1559390009705
